AeoLiS Model Profiling Report
============================================================
Generated: 2025-07-07 10:15:49
Configuration: c:\Users\svries\Documents\GitHub\OE_aeolis-python\aeolis\examples\vanWesten2024\blowout\blowout_short.txt
Total runtime: 37.65 seconds

TOP FUNCTIONS BY CUMULATIVE TIME:
----------------------------------------
         16494201 function calls (15869761 primitive calls) in 38.026 seconds

   Ordered by: cumulative time
   List reduced from 5636 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
146791/70885    0.140    0.000    0.439    0.000 {method 'format' of 'str' objects}
   157776    0.135    0.000    0.281    0.000 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\event.py:243(notify)
    33790    0.134    0.000    0.134    0.000 {built-in method matplotlib._path.affine_transform}
    47703    0.130    0.000    0.191    0.000 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\matplotlib\font_manager.py:700(__hash__)
   9650/2    0.128    0.000    1.509    0.754 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\matplotlib\text.py:926(get_window_extent)
        6    0.126    0.021    0.127    0.021 C:\Users\svries\Documents\GitHub\OE_aeolis-python\aeolis\avalanching.py:194(calc_gradients)
     4002    0.123    0.000    0.981    0.000 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\matplotlib\ticker.py:2159(_raw_ticks)
    78099    0.123    0.000    0.295    0.000 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\copy.py:62(copy)
17212/14547    0.122    0.000    0.240    0.000 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\matplotlib\transforms.py:2431(get_affine)
    26953    0.117    0.000    0.118    0.000 {built-in method numpy.array}
    65136    0.115    0.000    0.497    0.000 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numpy\_core\fromnumeric.py:69(_wrapreduction)
        6    0.113    0.019    0.113    0.019 C:\Users\svries\Documents\GitHub\OE_aeolis-python\aeolis\shear.py:700(add_shear)
        6    0.112    0.019    0.113    0.019 C:\Users\svries\Documents\GitHub\OE_aeolis-python\aeolis\shear.py:638(filter_highfrequenies)
    47152    0.111    0.000    0.124    0.000 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\event.py:66(_guard_kind)
    36349    0.109    0.000    0.232    0.000 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\matplotlib\transforms.py:749(__init__)


